             x             y             z          prec          calc          diff    n loc
  4.000000e+00  5.500000e+00  1.750000e+00  2.000000e+00  2.000000e+00  1.798561e-13  184 inner
  4.000000e+00  5.500000e+00  1.750000e+00  5.000000e+00  5.000000e+00  3.153033e-13  185 inner
  5.500000e+00  5.500000e+00  1.750000e+00  2.000000e+00  2.000000e+00  4.338752e-13  186 inner
  5.500000e+00  5.500000e+00  1.750000e+00  5.000000e+00  5.000000e+00  5.631051e-13  187 inner
  7.000000e+00  5.500000e+00  1.750000e+00  2.000000e+00  2.000000e+00  4.085621e-14  188 border
  7.000000e+00  5.500000e+00  1.750000e+00  5.000000e+00  5.000000e+00  1.474376e-13  189 border
  1.000000e+00  7.000000e+00  1.750000e+00  2.000000e+00  2.000000e+00  3.996803e-15  190 border
  1.000000e+00  7.000000e+00  1.750000e+00  5.000000e+00  5.000000e+00  1.421085e-14  191 border
  2.500000e+00  7.000000e+00  1.750000e+00  2.000000e+00  2.000000e+00  2.930989e-14  192 border
  2.500000e+00  7.000000e+00  1.750000e+00  5.000000e+00  5.000000e+00  5.950795e-14  193 border
  4.000000e+00  7.000000e+00  1.750000e+00  2.000000e+00  2.000000e+00  1.487699e-14  194 border
  4.000000e+00  7.000000e+00  1.750000e+00  5.000000e+00  5.000000e+00  1.865175e-14  195 border
  5.500000e+00  7.000000e+00  1.750000e+00  2.000000e+00  2.000000e+00  1.332268e-14  196 border
  5.500000e+00  7.000000e+00  1.750000e+00  5.000000e+00  5.000000e+00  1.332268e-13  197 border
  7.000000e+00  7.000000e+00  1.750000e+00  2.000000e+00  2.000000e+00  6.661338e-15  198 border
  7.000000e+00  7.000000e+00  1.750000e+00  5.000000e+00  5.000000e+00  2.664535e-14  199 border
  1.000000e+00  1.000000e+00  2.000000e+00  2.000000e+00  2.000000e+00  2.664535e-15  200 border
  1.000000e+00  1.000000e+00  2.000000e+00  5.000000e+00  5.000000e+00  7.105427e-15  201 border
  2.500000e+00  1.000000e+00  2.000000e+00  2.000000e+00  2.000000e+00  1.554312e-14  202 border
  2.500000e+00  1.000000e+00  2.000000e+00  5.000000e+00  5.000000e+00  8.881784e-16  203 border
  4.000000e+00  1.000000e+00  2.000000e+00  2.000000e+00  2.000000e+00  8.482104e-14  204 border
  4.000000e+00  1.000000e+00  2.000000e+00  5.000000e+00  5.000000e+00  1.030287e-13  205 border
  5.500000e+00  1.000000e+00  2.000000e+00  2.000000e+00  2.000000e+00  6.217249e-14  206 border
  5.500000e+00  1.000000e+00  2.000000e+00  5.000000e+00  5.000000e+00  2.842171e-14  207 border
  7.000000e+00  1.000000e+00  2.000000e+00  2.000000e+00  2.000000e+00  4.884981e-15  208 border
  7.000000e+00  1.000000e+00  2.000000e+00  5.000000e+00  5.000000e+00  7.993606e-15  209 border
  1.000000e+00  2.500000e+00  2.000000e+00  2.000000e+00  2.000000e+00  3.552714e-15  210 border
  1.000000e+00  2.500000e+00  2.000000e+00  5.000000e+00  5.000000e+00  2.930989e-14  211 border
  2.500000e+00  2.500000e+00  2.000000e+00  2.000000e+00  2.000000e+00  7.105427e-15  212 border
  2.500000e+00  2.500000e+00  2.000000e+00  5.000000e+00  5.000000e+00  1.252332e-13  213 border
  4.000000e+00  2.500000e+00  2.000000e+00  2.000000e+00  2.000000e+00  2.629008e-13  214 border
  4.000000e+00  2.500000e+00  2.000000e+00  5.000000e+00  5.000000e+00  2.540190e-13  215 border
  5.500000e+00  2.500000e+00  2.000000e+00  2.000000e+00  2.000000e+00  3.064216e-14  216 border
  5.500000e+00  2.500000e+00  2.000000e+00  5.000000e+00  5.000000e+00  2.851053e-13  217 border
  7.000000e+00  2.500000e+00  2.000000e+00  2.000000e+00  2.000000e+00  3.241851e-14  218 border
  7.000000e+00  2.500000e+00  2.000000e+00  5.000000e+00  5.000000e+00  4.707346e-14  219 border
  1.000000e+00  4.000000e+00  2.000000e+00  2.000000e+00  2.000000e+00  3.552714e-14  220 border
  1.000000e+00  4.000000e+00  2.000000e+00  5.000000e+00  5.000000e+00  6.039613e-14  221 border
  2.500000e+00  4.000000e+00  2.000000e+00  2.000000e+00  2.000000e+00  7.549517e-14  222 border
  2.500000e+00  4.000000e+00  2.000000e+00  5.000000e+00  5.000000e+00  3.117506e-13  223 border
  4.000000e+00  4.000000e+00  2.000000e+00  2.000000e+00  2.000000e+00  1.767475e-13  224 border
  4.000000e+00  4.000000e+00  2.000000e+00  5.000000e+00  5.000000e+00  1.572076e-13  225 border
  5.500000e+00  4.000000e+00  2.000000e+00  2.000000e+00  2.000000e+00  2.118306e-13  226 border
  5.500000e+00  4.000000e+00  2.000000e+00  5.000000e+00  5.000000e+00  4.733991e-13  227 border
